Frequency (Hz),OL Magnitude (dB),OL Phase (Deg),Plant Magnitude (dB),Plant Phase (Deg)
1654.28759765625,4.11312198638916,-84.5992050170898,-1.86753296852112,95.5913162231445
1728.73046875,3.75818848609924,-85.1662750244141,-2.19490098953247,95.1635131835938
1806.52331542969,3.78296208381653,-87.0348281860352,-2.10316467285156,93.5927810668945
1887.81677246094,3.41239786148071,-88.2433471679688,-2.56192541122437,91.9732360839844
1972.76843261719,2.94859719276428,-88.7956848144531,-2.99271488189697,91.5903015136719
2061.54296875,2.72024416923523,-89.3996658325195,-3.28247690200806,90.6878280639648
2154.31225585938,2.04756832122803,-90.4622116088867,-4.00800704956055,89.3579177856445
2251.25610351563,2.33666467666626,-91.4585876464844,-3.68922352790833,88.5158538818359
2352.5625,1.85655200481415,-92.0287628173828,-4.12238264083862,88.1846771240234
2458.427734375,1.34420049190521,-93.7965087890625,-4.60873031616211,86.5592651367188
2569.05688476563,1.30051672458649,-98.207633972168,-4.77523517608643,81.5299224853516
2684.66430664063,0.969019949436188,-97.8825912475586,-5.12568330764771,81.7459411621094
2805.47412109375,0.529071271419525,-97.6998672485352,-5.53022336959839,82.0933456420898
2931.72021484375,0.0927889347076416,-98.0198287963867,-5.99542856216431,81.5999526977539
3063.6474609375,0.0912308022379875,-101.324417114258,-5.98303270339966,78.3907928466797
3201.51147460938,0.135581150650978,-103.672309875488,-5.95953798294067,75.9517669677734
3345.57934570313,-0.978900134563446,-105.444412231445,-7.13370704650879,73.782829284668
3496.13037109375,-0.717731952667236,-106.492080688477,-6.79188776016235,73.2138290405273
3653.4560546875,-0.690975666046143,-109.51099395752,-6.85902118682861,69.7267837524414
3817.861328125,-1.36757588386536,-110.358703613281,-7.58600568771362,68.5188064575195
3989.6650390625,-1.98583579063416,-112.076698303223,-8.17303657531738,66.8973007202148
4169.19970703125,-2.252357006073,-112.916114807129,-8.46863651275635,65.8406219482422
4356.8134765625,-2.19894766807556,-116.44554901123,-8.48935794830322,61.9265441894531
4552.8701171875,-2.70092701911926,-118.543327331543,-8.94093322753906,60.0315170288086
4757.7490234375,-3.35414552688599,-119.627555847168,-9.55641555786133,59.0563774108887
4971.84765625,-3.32670974731445,-120.957313537598,-9.52940654754639,57.7390403747559
5195.58056640625,-4.2165355682373,-125.055725097656,-10.4556140899658,53.1534614562988
5429.38134765625,-4.09225130081177,-128.314117431641,-10.3725728988647,49.6199340820313
5673.703125,-4.71489381790161,-129.031997680664,-10.9790067672729,48.8001747131348
5929.01953125,-5.03376197814941,-132.037170410156,-11.2967805862427,45.6629371643066
6195.8251953125,-5.14580774307251,-131.674880981445,-11.3811826705933,46.240406036377
6474.63720703125,-5.85359144210815,-137.338424682617,-12.1068859100342,40.0286140441895
6765.99560546875,-6.28806352615356,-137.708724975586,-12.5176773071289,39.7254257202148
7070.46533203125,-6.71136999130249,-143.707214355469,-12.898476600647,33.907657623291
7388.6357421875,-7.34254503250122,-148.066223144531,-13.4629592895508,30.1765918731689
7721.1240234375,-7.96616220474243,-150.908493041992,-14.0618057250977,27.5135803222656
8068.57421875,-7.87866258621216,-155.958511352539,-13.9588146209717,22.607421875
8431.66015625,-8.77139854431152,-160.356903076172,-14.8158674240112,18.8305034637451
8811.0849609375,-8.66129016876221,-159.934051513672,-14.7030048370361,19.36940574646
9207.5830078125,-9.35248374938965,-167.426345825195,-15.3833131790161,11.9933338165283
9621.923828125,-9.64537334442139,-170.755966186523,-15.6651334762573,9.31500625610352
10054.91015625,-9.19959545135498,-170.696395874023,-15.2170028686523,9.55800628662109
10507.380859375,-10.325288772583,-173.224899291992,-16.3429317474365,7.17390918731689
10980.212890625,-11.8818435668945,-178.484527587891,-17.9021034240723,1.97793340682983
11474.322265625,-13.0905275344849,177.585174560547,-19.1127319335938,-1.80169212818146
11990.666015625,-11.3543863296509,167.931137084961,-17.3864688873291,-11.1755905151367
12530.2451171875,-14.5184850692749,172.789123535156,-20.5442924499512,-6.28491878509521
13094.10546875,-12.9533071517944,149.307861328125,-18.9953479766846,-29.7539100646973
13683.33984375,-13.7846670150757,163.544036865234,-19.822473526001,-15.1042518615723
14299.08984375,-14.8135137557983,141.599182128906,-20.8432674407959,-37.9555892944336
14942.5478515625,-12.8352298736572,128.74821472168,-18.8625679016113,-51.0400276184082
15614.9619140625,-12.5926885604858,109.687789916992,-18.6703338623047,-68.8283462524414
